名称,评论,评论时间
VS沙宣修护水养洗发水750ml*2瓶装,一看店名，溜了 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,刚刚下了单我就不知道是假的，我会不会真是假的呢？如果是假的怎么办？用30块钱的券比超市买的就便宜的太多了。 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,价格太低，假货的机会大。如果是直营倒还好，这都什么店。 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,拼购货源都是拼夕夕或阿里巴巴代发，价格差异多都是假货，顺便撸你京东卷 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,就是假的，卖了，粘度跟我超市买的完全不一样. ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,买过一次拼的沙宣，很假，还是官方店或者正常价格的第三店吧 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,你长了几根头发在这哇哇哇哇？ ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,这就是宝洁的低端货你们当宝贝呀。还真的假的。 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,找个淘宝做理发店用品批发的，两瓶44 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,也不知道京东哪里搞得这么多拼购店 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,京东的拼购，不要买,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,怎么天天推啊 好多人都说是假的 这烂饭恰的 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,货本来有问题 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,为何？不能用各种券还是货本身？ ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,还是自营的放心… ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,假的吗？还是？ ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,➕货没商量，让了！ ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,拼购的让了 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,护发就是润泽于天 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,拼购的让了 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,京东的拼购，不要买,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,怎么天天推啊 好多人都说是假的 这烂饭恰的 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,还是自营的放心… ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,货本来有问题 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,一看店名，溜了 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,刚刚下了单我就不知道是假的，我会不会真是假的呢？如果是假的怎么办？用30块钱的券比超市买的就便宜的太多了。 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,价格太低，假货的机会大。如果是直营倒还好，这都什么店。 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,拼购货源都是拼夕夕或阿里巴巴代发，价格差异多都是假货，顺便撸你京东卷 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,就是假的，卖了，粘度跟我超市买的完全不一样. ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,买过一次拼的沙宣，很假，还是官方店或者正常价格的第三店吧 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,你长了几根头发在这哇哇哇哇？ ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,这就是宝洁的低端货你们当宝贝呀。还真的假的。 ,2020-08-30
VS沙宣修护水养洗发水750ml*2瓶装,找个淘宝做理发店用品批发的，两瓶44 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,也不知道京东哪里搞得这么多拼购店 ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,为何？不能用各种券还是货本身？ ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,假的吗？还是？ ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,➕货没商量，让了！ ,2020-08-29
VS沙宣修护水养洗发水750ml*2瓶装,护发就是润泽于天 ,2020-08-29
法国馥绿德雅洗发水舒缓头皮无硅油改善头痒干屑祛痘女,假的价格ZSBD ,2020-08-30
法国馥绿德雅洗发水舒缓头皮无硅油改善头痒干屑祛痘女,这是怎么通过的？ ,2020-08-30
法国馥绿德雅洗发水舒缓头皮无硅油改善头痒干屑祛痘女,印象里法国地中海挺多的 ,2020-08-29
法国馥绿德雅洗发水舒缓头皮无硅油改善头痒干屑祛痘女,假的价格ZSBD ,2020-08-30
法国馥绿德雅洗发水舒缓头皮无硅油改善头痒干屑祛痘女,这是怎么通过的？ ,2020-08-30
法国馥绿德雅洗发水舒缓头皮无硅油改善头痒干屑祛痘女,印象里法国地中海挺多的 ,2020-08-29
蜂花（BEE&FLOWER）诗语花悦香氛护发素亚麻籽+红石榴润发精华素（染烫修护）480ml*2件,怎么算的？为什么我是26.92？ ,2020-08-30
蜂花（BEE&FLOWER）诗语花悦香氛护发素亚麻籽+红石榴润发精华素（染烫修护）480ml*2件,怎么算的？为什么我是26.92？ ,2020-08-30
MOROCCANOIL摩洛哥护发精油100ml*2件,价格可么？艺术布丁 ,2020-08-30
MOROCCANOIL摩洛哥护发精油100ml*2件,价格可么？艺术布丁 ,2020-08-30
1日10点：Tamanohada玉肌无硅油洗发水003玫瑰香+004栀子花香,69是一瓶的价格吧 ,2020-08-30
1日10点：Tamanohada玉肌无硅油洗发水003玫瑰香+004栀子花香,这包装太上流了吧 ,2020-08-30
1日10点：Tamanohada玉肌无硅油洗发水003玫瑰香+004栀子花香,这个我用了起头皮屑，味道是真的很香，头皮油的也很快，不知道是个人原因还是洗发水 ,2020-08-30
1日10点：Tamanohada玉肌无硅油洗发水003玫瑰香+004栀子花香,无硅油洗发水虽然不直接去油，但是可以让头发不受硅油影响，虽然使用后头发不那么顺滑，但是能比较长久的保持清爽 ,2020-08-30
1日10点：Tamanohada玉肌无硅油洗发水003玫瑰香+004栀子花香,69是一瓶的价格吧 ,2020-08-30
1日10点：Tamanohada玉肌无硅油洗发水003玫瑰香+004栀子花香,这包装太上流了吧 ,2020-08-30
1日10点：Tamanohada玉肌无硅油洗发水003玫瑰香+004栀子花香,这个我用了起头皮屑，味道是真的很香，头皮油的也很快，不知道是个人原因还是洗发水 ,2020-08-30
1日10点：Tamanohada玉肌无硅油洗发水003玫瑰香+004栀子花香,无硅油洗发水虽然不直接去油，但是可以让头发不受硅油影响，虽然使用后头发不那么顺滑，但是能比较长久的保持清爽 ,2020-08-30
